,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
160,-0.01138305270683854,-0.008024912671866297,-0.013653932877966403,2.120716615070693e-10,9.133590835854494e+47
161,-0.01138305270683854,-0.008024912671866297,-0.01305759250448356,2.120716615070693e-10,3.107815832079388e+48
162,-0.010786712333356105,-0.00862125304534914,-0.013653932877966403,2.120716615070693e-10,5.283772121413156e+47
163,-0.010786712333356105,-0.00862125304534914,-0.01305759250448356,2.120716615070693e-10,1.269442221814103e+48
164,-0.010786712333356105,-0.008024912671866297,-0.013653932877966403,2.120716615070693e-10,2.2395975032726408e+48
165,-0.010786712333356105,-0.008024912671866297,-0.01305759250448356,2.120716615070693e-10,6.310814285799616e+48
166,-0.01138305270683854,-0.00862125304534914,-0.012461252131003981,2.120716615070693e-10,1.5881559733484455e+48
167,-0.01138305270683854,-0.00862125304534914,-0.011864911757521138,2.120716615070693e-10,2.206345372534855e+48
168,-0.01138305270683854,-0.008024912671866297,-0.012461252131003981,2.120716615070693e-10,5.8267036090616987e+48
169,-0.01138305270683854,-0.008024912671866297,-0.011864911757521138,2.120716615070693e-10,5.7179793724194854e+48
170,-0.010786712333356105,-0.00862125304534914,-0.012461252131003981,2.120716615070693e-10,2.397293729086079e+48
171,-0.010786712333356105,-0.00862125304534914,-0.011864911757521138,2.120716615070693e-10,2.848152789976514e+48
172,-0.010786712333356105,-0.008024912671866297,-0.012461252131003981,2.120716615070693e-10,8.697059498737424e+48
173,-0.010786712333356105,-0.008024912671866297,-0.011864911757521138,2.120716615070693e-10,7.574056970905579e+48
174,-0.01227756326706158,-0.009515763605571772,-0.010970401197296874,1.6965732920565545e-09,3.4537837571974853e+47
175,-0.01227756326706158,-0.009515763605571772,-0.009777720450334452,1.6965732920565545e-09,3.007684406640685e+47
176,-0.01227756326706158,-0.008323082858607719,-0.010970401197296874,1.6965732920565545e-09,1.1655445668837862e+48
177,-0.01227756326706158,-0.008323082858607719,-0.009777720450334452,1.6965732920565545e-09,4.971003293331507e+47
178,-0.011084882520097527,-0.009515763605571772,-0.010970401197296874,1.6965732920565545e-09,5.1996963272475406e+47
179,-0.011084882520097527,-0.009515763605571772,-0.009777720450334452,1.6965732920565545e-09,3.953198067919155e+47
180,-0.011084882520097527,-0.008323082858607719,-0.010970401197296874,1.6965732920565545e-09,2.5655284722014422e+48
181,-0.011084882520097527,-0.008323082858607719,-0.009777720450334452,1.6965732920565545e-09,6.075005982769362e+47
182,-0.009892201773133064,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,4.1610357918686e+47
183,-0.009892201773133064,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,5.425100499345274e+47
184,-0.008699521026169011,-0.009515763605571772,-0.013355762691224982,1.6965732920565545e-09,3.5803383232689085e+47
185,-0.008699521026169011,-0.009515763605571772,-0.01216308194426256,1.6965732920565545e-09,4.243190401586538e+47
186,-0.008699521026169011,-0.008323082858607719,-0.013355762691224982,1.6965732920565545e-09,1.218284008411097e+48
187,-0.008699521026169011,-0.008323082858607719,-0.01216308194426256,1.6965732920565545e-09,1.2317482611442601e+48
188,-0.010190371959874078,-0.00862125304534914,-0.013653932877966403,2.120716615070693e-10,9.920081913895818e+47
189,-0.010190371959874078,-0.00862125304534914,-0.01305759250448356,2.120716615070693e-10,1.8299215571986954e+48
190,-0.010190371959874078,-0.008024912671866297,-0.013653932877966403,2.120716615070693e-10,4.739531267720943e+48
191,-0.010190371959874078,-0.008024912671866297,-0.01305759250448356,2.120716615070693e-10,8.750308424220776e+48
192,-0.00959403158639205,-0.00862125304534914,-0.013653932877966403,2.120716615070693e-10,1.1591057349067545e+48
193,-0.00959403158639205,-0.00862125304534914,-0.01305759250448356,2.120716615070693e-10,1.8617247866203644e+48
194,-0.00959403158639205,-0.008024912671866297,-0.013653932877966403,2.120716615070693e-10,4.5007998037109723e+48
195,-0.00959403158639205,-0.008024912671866297,-0.01305759250448356,2.120716615070693e-10,6.161207759001161e+48
196,-0.010190371959874078,-0.00862125304534914,-0.012461252131003981,2.120716615070693e-10,2.6527181942044928e+48
197,-0.010190371959874078,-0.00862125304534914,-0.011864911757521138,2.120716615070693e-10,2.8498248962395163e+48
198,-0.010190371959874078,-0.008024912671866297,-0.012461252131003981,2.120716615070693e-10,9.32206939233888e+48
199,-0.010190371959874078,-0.008024912671866297,-0.011864911757521138,2.120716615070693e-10,7.129515614048106e+48
200,-0.00959403158639205,-0.00862125304534914,-0.012461252131003981,2.120716615070693e-10,2.4347640986413075e+48
201,-0.00959403158639205,-0.00862125304534914,-0.011864911757521138,2.120716615070693e-10,2.4666687614529107e+48
202,-0.00959403158639205,-0.008024912671866297,-0.012461252131003981,2.120716615070693e-10,5.985120423855914e+48
203,-0.00959403158639205,-0.008024912671866297,-0.011864911757521138,2.120716615070693e-10,4.6706440939173735e+48
204,-0.009892201773133064,-0.009515763605571772,-0.010970401197296874,1.6965732920565545e-09,5.162998164426088e+47
205,-0.009892201773133064,-0.009515763605571772,-0.009777720450334452,1.6965732920565545e-09,3.738576342404978e+47
206,-0.009892201773133064,-0.008323082858607719,-0.010970401197296874,1.6965732920565545e-09,2.260841619780215e+48
207,-0.009892201773133064,-0.008323082858607719,-0.009777720450334452,1.6965732920565545e-09,5.032782406485116e+47
208,-0.008699521026169011,-0.009515763605571772,-0.010970401197296874,1.6965732920565545e-09,3.990443945301738e+47
209,-0.008699521026169011,-0.009515763605571772,-0.009777720450334452,1.6965732920565545e-09,2.79877088376183e+47
210,-0.008699521026169011,-0.008323082858607719,-0.010970401197296874,1.6965732920565545e-09,7.783556181505501e+47
211,-0.008699521026169011,-0.008323082858607719,-0.009777720450334452,1.6965732920565545e-09,3.197786412254323e+47
212,-0.006910499905722523,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,6.390814835839466e+46
213,-0.006910499905722523,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,5.947736040981492e+46
214,-0.006910499905722523,-0.008919423232090561,-0.01275942231774214,1.3572586336452436e-08,1.709594782440856e+47
215,-0.006910499905722523,-0.008919423232090561,-0.010374060823814032,1.3572586336452436e-08,1.2944407414266151e+47
216,-0.0045251384117940075,-0.011304784726018669,-0.01275942231774214,1.3572586336452436e-08,2.2324997967448915e+46
217,-0.0045251384117940075,-0.011304784726018669,-0.010374060823814032,1.3572586336452436e-08,2.1205495712176226e+46
218,-0.0045251384117940075,-0.008919423232090561,-0.01275942231774214,1.3572586336452436e-08,2.6297943848470894e+46
